doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
2013 07 15 Government Services Agenda Reduced,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2013-07-15-government-services-agenda-reduced.pdf,Town of Ladysmith,2013-07-15,,agenda-pkg,government-services-committee,
2013 08 19 Government Services Agenda Full Pkg Linked,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2013-08-19-government-services-agenda-full-pkg-linked.pdf,Town of Ladysmith,2013-08-19,,agenda-pkg,government-services-committee,
2013 10 21 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2013-10-21-government-services-agenda.pdf,Town of Ladysmith,2013-10-21,,agenda-pkg,government-services-committee,
2013 11 18 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2013-11-18-government-services-agenda.pdf,Town of Ladysmith,2013-11-18,,agenda-pkg,government-services-committee,
2013 12 16 Municipal Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2013-12-16-municipal-services-agenda.pdf,Town of Ladysmith,2013-12-16,,agenda-pkg,government-services-committee,
2014 03 17 Municipal Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2014-03-17-municipal-services-agenda.pdf,Town of Ladysmith,2014-03-17,,agenda-pkg,government-services-committee,
2014 06 16 Municipal Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2014-06-16-municipal-services-agenda.pdf,Town of Ladysmith,2014-06-16,,agenda-pkg,government-services-committee,
2014 07 21 Municipal Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2014-07-21-municipal-services-agenda.pdf,Town of Ladysmith,2014-07-21,,agenda-pkg,government-services-committee,
2014 08 18 Municipal Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2014-08-18-municipal-services-agenda.pdf,Town of Ladysmith,2014-08-18,,agenda-pkg,government-services-committee,
2014 09 15 Municipal Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2014-09-15-municipal-services-agenda.pdf,Town of Ladysmith,2014-09-15,,agenda-pkg,government-services-committee,
2014 10 20 Minutes Municipal Services,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2014-10-20-minutes-municipal-services.pdf,Town of Ladysmith,2014-10-20,,minutes,municipal-services-committee,
2014 10 20 Municipal Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2014-10-20-municipal-services-agenda.pdf,Town of Ladysmith,2014-10-20,,agenda-pkg,municipal-services-committee,
Government Services Minutes 20080421,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/government-services-minutes-20080421.pdf,Town of Ladysmith,2008-04-21,,minutes,government-services-committee,
Government Services Minutes 20080818,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/government-services-minutes-20080818.pdf,Town of Ladysmith,2008-08-18,,minutes,government-services-committee,
